symbol,direction,signal_ms,entry_ms,exit_ms,entry_price,exit_price,impulse_bps,entry_spread_bps,pnl_bps,pnl_usdt,mfe_bps,mae_bps,hold_ms,signal_to_fill_ms,exit_decision_to_fill_ms,exit_reason
LINK_USDT,LONG,1786810948903,1786810948907,1786810956963,9.516,9.518,2.1016129957038925,1.0509169250164951,2.1017234131995246,2.1017234131995246,2.1017234131995246,-1.0508617065988293,8056,4,4,binance_target_caught
LINK_USDT,LONG,1786810972185,1786810972193,1786810972382,9.523,9.525,1.5750925399436992,1.0501443948537104,2.100178515174491,2.100178515174491,2.100178515174491,-1.0500892575863128,189,8,17,binance_target_caught
LINK_USDT,LONG,1786810981280,1786810981287,1786810981691,9.529,9.531,2.0987460069681676,1.0494831295581106,2.098856123413441,2.098856123413441,2.098856123413441,-1.0494280617057885,404,7,3,binance_target_caught
LINK_USDT,LONG,1786810989636,1786810989639,1786810994271,9.538,9.544,2.0967657465276317,1.0484927916114766,6.290626965821166,6.290626965821166,6.290626965821166,-1.04843782763624,4632,3,3,binance_target_caught
LINK_USDT,SHORT,1786811014396,1786811014401,1786811014861,9.543,9.541,-1.571873938946606,1.0478336040249616,2.095777009325046,2.095777009325046,2.095777009325046,-1.0478885046643847,460,5,41,binance_target_caught
LINK_USDT,LONG,1786811032243,1786811032251,1786811033159,9.544,9.545,1.5716268990096676,1.0478336040249616,1.0477787091360495,1.0477787091360495,1.0477787091360495,-1.0477787091379107,908,8,3,binance_target_caught
LINK_USDT,SHORT,1786811050398,1786811050407,1786811062924,9.547,9.55,-2.0950086495716143,1.047394605917199,-3.1423483816907023,-3.1423483816907023,1.0474494605648077,-3.1423483816907023,12517,9,2,live_adverse_cut
LINK_USDT,LONG,1786811069545,1786811069549,1786811070041,9.549,9.547,1.5708039930716762,1.0472849138602354,-2.09446015289443,-2.09446015289443,0.0,-2.09446015289443,492,4,52,live_adverse_cut
LINK_USDT,SHORT,1786811081881,1786811081885,1786811082398,9.549,9.547,-3.1416902551844412,2.0942408376970345,2.09446015289443,2.09446015289443,2.09446015289443,-2.0944601528962905,513,4,35,binance_target_caught
LINK_USDT,LONG,1786811124092,1786811124103,1786811124200,9.545,9.547,2.0950086495717195,1.047723820000467,2.0953378732327583,2.0953378732327583,2.0953378732327583,-1.0476689366154486,97,11,5,binance_target_caught
LINK_USDT,SHORT,1786811137457,1786811137465,1786811137864,9.547,9.544,-3.1426775871478796,1.047394605917199,3.1423483816907023,3.1423483816907023,3.1423483816907023,-1.0474494605629472,399,8,7,binance_target_caught
LINK_USDT,SHORT,1786811141761,1786811141764,1786811161136,9.543,9.541,-2.095886829785031,1.0478336040249616,2.095777009325046,2.095777009325046,2.095777009325046,-1.0478885046643847,19372,3,4,binance_target_caught
LINK_USDT,LONG,1786811162111,1786811162121,1786811162569,9.54,9.545,3.668282498882155,1.0482729702808804,5.241090146751344,5.241090146751344,5.241090146751344,-1.048218029349524,448,10,59,binance_target_caught
LINK_USDT,SHORT,1786811219679,1786811219694,1786811220592,9.551,9.555,-1.570639515283767,1.04695597550065,-4.188043136843849,-4.188043136843849,1.0470107842104972,-4.188043136843849,898,15,10,live_adverse_cut
LINK_USDT,SHORT,1786811223657,1786811223662,1786811226417,9.549,9.551,-2.094569835380411,1.0471752447784932,-2.0944601528962905,-2.0944601528962905,1.047230076447215,-2.0944601528962905,2755,5,2,live_adverse_cut
LINK_USDT,LONG,1786811286329,1786811286336,1786811288731,9.55,9.553,2.094131204972371,1.0471752447784932,3.141361256544622,3.141361256544622,3.141361256544622,-1.0471204188494472,2395,7,6,binance_target_caught
LINK_USDT,LONG,1786811303869,1786811303885,1786811307974,9.553,9.558,5.232862495128279,1.046846375295705,5.23395791897729,5.23395791897729,5.23395791897729,-1.0467915837969455,4089,16,27,binance_target_caught
LINK_USDT,SHORT,1786811309597,1786811309605,1786811309898,9.563,9.561,-2.0915032756003744,1.045642285773457,2.0913939140444087,2.0913939140444087,2.0913939140444087,-1.0456969570212755,293,8,24,binance_target_caught
LINK_USDT,SHORT,1786811311579,1786811311583,1786811312186,9.559,9.557,-3.1384036244626703,2.09205020920572,2.0922690658007026,2.0922690658007026,2.0922690658007026,-2.092269065802561,603,4,53,binance_target_caught
LINK_USDT,SHORT,1786811313041,1786811313049,1786811313406,9.556,9.558,-2.0930354322643385,1.046408203841597,-2.09292591042347,-2.09292591042347,0.0,-2.09292591042347,357,8,8,live_adverse_cut
LINK_USDT,SHORT,1786811316655,1786811316665,1786811316880,9.558,9.556,-1.569407028933535,1.046189255635765,2.092487968194882,2.092487968194882,2.092487968194882,-1.0462439840965116,215,10,54,binance_target_caught
LINK_USDT,LONG,1786811318623,1786811318633,1786811319002,9.556,9.566,4.185194934226818,1.0465177123117009,10.464629552115492,10.464629552115492,10.464629552115492,-1.0464629552108056,369,10,10,binance_target_caught
LINK_USDT,SHORT,1786811323043,1786811323046,1786811325645,9.564,9.56,-1.568422431655691,1.0455329604259982,4.182350480969844,4.182350480969844,4.182350480969844,-1.0455876202419967,2599,3,5,binance_target_caught
LINK_USDT,SHORT,1786811326680,1786811326692,1786811326978,9.559,9.547,-7.325241014034332,1.046079815891231,12.553614394809792,12.553614394809792,12.553614394809792,-1.0461345329022096,286,12,2,binance_target_caught
LINK_USDT,SHORT,1786811333097,1786811333101,1786811333943,9.54,9.539,-1.5723682518829967,1.048163094178735,1.048218029349524,1.048218029349524,1.048218029349524,-1.048218029351386,842,4,19,binance_target_caught
LINK_USDT,SHORT,1786811334428,1786811334437,1786811340841,9.536,9.534,-2.0974254179973304,1.0486027368544246,2.0973154362404482,2.0973154362404482,2.0973154362404482,-1.048657718122087,6404,9,52,binance_target_caught
LINK_USDT,LONG,1786811356306,1786811356314,1786811356858,9.533,9.537,4.1952908476257935,1.0490427484914198,4.195950907375785,4.195950907375785,4.195950907375785,-1.0489877268430148,544,8,10,binance_target_caught
LINK_USDT,SHORT,1786811357200,1786811357203,1786811357655,9.537,9.535,-2.0972054813953656,1.0484927916114766,2.097095522701759,2.097095522701759,2.097095522701759,-1.0485477613499483,452,3,0,binance_target_caught
LINK_USDT,LONG,1786811361795,1786811361802,1786811366661,9.534,9.536,2.0978654296297052,1.0489327109678734,2.0977554017189965,2.0977554017189965,2.0977554017189965,-1.0488777008613615,4859,7,13,binance_target_caught
LINK_USDT,LONG,1786811369409,1786811369414,1786811369837,9.54,9.542,2.0963261960310198,1.0482729702808804,2.09643605870091,2.09643605870091,2.09643605870091,-1.048218029349524,423,5,9,binance_target_caught
LINK_USDT,LONG,1786811373162,1786811373168,1786811373465,9.546,9.549,3.142348407547725,1.0476140589800909,3.1426775612823317,3.1426775612823317,3.1426775612823317,-1.0475591870934904,297,6,1,binance_target_caught
LINK_USDT,SHORT,1786811375467,1786811375476,1786811377494,9.55,9.548,-2.0943504972091236,1.0470655986591757,2.0942408376970345,2.0942408376970345,2.0942408376970345,-1.047120418847587,2018,9,12,binance_target_caught
LINK_USDT,SHORT,1786811415319,1786811415328,1786811415602,9.549,9.547,-2.094569835380411,1.0471752447784932,2.09446015289443,2.09446015289443,2.09446015289443,-1.0472300764490756,274,9,28,binance_target_caught
LINK_USDT,LONG,1786811468236,1786811468244,1786811476680,9.541,9.539,2.0961064898856865,1.048163094178735,-2.096216329525907,-2.096216329525907,1.0481081647620225,-2.096216329525907,8436,8,23,live_adverse_cut
LINK_USDT,LONG,1786811480018,1786811480027,1786811480263,9.543,9.546,2.619515404631717,1.0479434110552222,3.143665513989431,3.143665513989431,3.143665513989431,-1.047888504662523,236,9,10,binance_target_caught
LINK_USDT,SHORT,1786811481607,1786811481612,1786811487477,9.548,9.55,-2.094789219496058,1.0472849138602354,-2.0946795140350525,-2.0946795140350525,1.0473397570165959,-2.0946795140350525,5865,5,46,live_adverse_cut
LINK_USDT,SHORT,1786811514145,1786811514155,1786811516218,9.548,9.546,-2.094789219496058,1.0472849138602354,2.0946795140350525,2.0946795140350525,2.0946795140350525,-1.0473397570165959,2063,10,29,binance_target_caught
